primarysite,count(*).x,previous_cosmic_term,cosmic_term,shorter_cosmic_term
soft palate,1,salivary_gland,salivary_gland,salivary_gland
soft tissue,149,soft_tissue ,soft_tissue ,soft_tissue 
spinal cord,2,haematopoietic_and_lymphoid_tissue,central_nervous_system,CNS
spine,3,bone,bone,bone
spleen,3,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,blood
stomach,256,stomach,stomach,stomach
submandibular gland,6,salivary_gland,salivary_gland,salivary_gland
subungual toe,1,skin,skin,skin
sweat gland,1,skin,skin,skin
testis,240,testis,testis,testis
thigh,9,soft_tissue ,soft_tissue ,soft_tissue 
thoracic spine,1,central_nervous_system,central_nervous_system,CNS
thymus,17,thymus,thymus,thymus
thyroid,232,thyroid,thyroid,thyroid
tongue,13,head_and_neck,salivary_gland,salivary_gland
tonsil,10,salivary_gland,salivary_gland,salivary_gland
trachea,6,salivary_gland,salivary_gland,salivary_gland
transverse colon,91,large_intestine,large_intestine,large_intestine
umbilical mass,1,peritoneum,peritoneum,peritoneum
unknown,3,NS,NS,NS
upper extremity,9,bone,bone,bone
upper tract,84,urinary_tract,urinary_tract,urinary_tract
urethra,10,urinary_tract,urinary_tract,urinary_tract
uterus,316,endometrium,endometrium,endometrium
vagina,14,vagina,vagina,vagina
vulva,10,vulva,vulva,vulva
